RDKit Canonical Smiles,Molecule ChEMBL ID,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation
COc1cc(/C=C/C(=O)c2ccc3ccccc3c2)cc(Br)c1OC,CHEMBL3898212,0.08155882,0.2990461,0.649720218995314,0.224355851942613
COc1cc(/C=C/C(=O)c2ccc3ccccc3c2)cc(Cl)c1OC,CHEMBL3891465,0.08254853,0.29983807,0.622894286568708,0.229523096932294
CC[C@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)C(=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL3358048,0.60109377,0.21740504,0.807861948484863,0.340772023561432
CC[C@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4101113,0.6052646,0.20215933,0.811561226018729,0.373919724413601
COc1cc(OC)c2c(=O)cc(N3CCN(Cc4ccc(C#N)cc4)CC3)oc2c1,CHEMBL3763752,0.44338948,0.8005691,0.427654606330259,-0.067857124922793
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCc2cn(CCOCCOCCOCCOCCOCCn3cc(COC(=O)C4=C(C)NC(C)=C(C(=O)OCC)C4c4c(-c5ccccc5)noc4C)nn3)nn2)C1c1c(-c2ccccc2)noc1C,CHEMBL4084565,0.45020398,0.41980502,0.404224120122828,0.217943245672621
CCOC(=O)c1c(C)nc(C)c(C(=O)OCC)c1-c1c(-c2ccccc2)noc1C,CHEMBL4067399,0.4741779,0.41043726,-0.113042752965087,0.089193980084263
CC[C@@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)/C(=N/Nc3cnccn3)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4090331,0.5796121,0.24706893,0.629635060043417,0.230868890573921
CC[C@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)/C(=N/NC(N)=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4070955,0.57536876,0.21895158,0.793786408203856,0.336207372739644
CC[C@H]1CN(C)[C@H]2Cc3c(n(CCN(CC)CC)c4ccccc34)C(=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4082147,0.6171153,0.23127306,0.851116405239714,0.344096334720974
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c(-c2ccccc2Br)noc1C,CHEMBL4101015,0.45809644,0.393907,0.466145232965167,0.226670817870934
CC[C@@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)[C@@H](OC(=O)C34CC5CC(CC(C5)C3)C4)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4098642,0.6106378,0.19093409,0.767690183633079,0.383134393564294
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,0.3463458,0.39041984,0.351416855461348,0.118540316060641
