RDKit Canonical Smiles,Molecule ChEMBL ID,Fingerprints_tsne_x,Fingerprints_ tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski RO5 violations,Follows Lipinski’s RO5,QED_weighed,Bioactivity (P-glycoprotein 1)
O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,CHEMBL319952,0.4016045,0.48649323,0.23101804,0.8392155,0.94907665,0.04459828,0.262244766159021,-0.102993386529007,0.421091686571185,0.111866585651229,0.589887684378489,0.149247510532844,367.49,3.73,,8.02,0,True,0.69,1
COc1ccc(C(C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,CHEMBL2316440,0.27984035,0.16255811,0.47044107,0.85703194,0.6607548,0.39132816,0.476922030546485,-0.016003896775619,0.261050346486228,0.089630860855985,0.095354903249059,-0.01792717649481,699.84,6.55,,11.21,2,False,0.15,1
COc1ccc(C(C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,CHEMBL2316438,0.27985132,0.16255376,0.47043842,0.8570329,0.66075516,0.39132726,0.476919886308221,-0.015983810303356,0.261050343134436,0.089635882474051,0.095355535560454,-0.017922154876744,699.84,6.55,,11.21,2,False,0.15,1
COc1ccc(C(C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)C#Cc4cc(OC)c(OC)c(OC)c4)CC3)CC2)c2ccc(OC)cc2)cc1,CHEMBL2316437,0.27985066,0.16255134,0.47043842,0.8570329,0.6607547,0.39132598,0.476919803807901,-0.015988831921422,0.261050343134436,0.089635882474051,0.095354053314892,-0.017912111640613,699.84,6.55,,11.21,2,False,0.15,1
COc1cc(/C=C/C(=O)O[C@H]2CC[C@H](N(C)[C@H]3CC[C@@H](OC(=O)C4c5ccccc5-c5ccccc54)CC3)CC2)cc(OC)c1OC,CHEMBL2316436,0.2548234,0.20843732,0.5125223,0.85888046,0.5521408,0.12920558,0.555515723058184,-0.019006824378951,0.208236248617173,0.00801952405104,0.229830314576483,0.172648250719347,639.79,7.18,11.75,11.06,2,False,0.17,1
COc1cc(/C=C/C(=O)O[C@H]2CC[C@@H](N(C)[C@H]3CC[C@@H](OC(=O)c4cc(OC)c(OC)c(OC)c4)CC3)CC2)cc(OC)c1OC,CHEMBL2316161,0.2407794,0.19163312,0.45842093,0.87417805,0.6574692,0.31125104,0.570416743871362,-0.007823680946475,0.341723366084471,0.064653332596829,0.167943946776959,-0.057351899929195,641.76,5.71,,11.21,3,False,0.2,1
Cc1cccc(-c2coc3c(c(O)cc4occ(-c5cccc(C)c5)c(=O)c43)c2=O)c1,CHEMBL3823024,0.13909203,0.5753844,0.80093586,0.8897626,0.77957356,0.9076162,0.140328415346104,-0.145255324170554,0.410845862408502,-0.063925197977292,0.639172404701052,0.206483913246526,410.43,5.56,4.5,,1,True,0.39,1
COc1ccc(-c2coc3c(c(O)cc4occ(-c5ccc(OC)cc5)c(=O)c43)c2=O)cc1,CHEMBL3822907,0.14018801,0.57576895,0.8012326,0.88991076,0.77643824,0.91136825,0.431083788362494,-0.119966455591321,0.440777624726313,-0.062318280196245,0.666144115332939,0.191941307328047,442.42,4.96,4.5,,0,True,0.39,1
COc1cc(C(=O)/C=C/c2ccccc2SC)cc(OC)c1OC,CHEMBL3233492,0.21825922,0.27265084,0.58564657,0.89491796,0.80420935,0.72925454,0.656009678602527,-0.046429880636139,0.480129597771656,0.075394573639518,0.60299623273159,0.26142543650415,344.43,4.33,,,0,True,0.42,1
COc1cc(/C=C/C(=O)OCCCCN(C)CCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,CHEMBL3339301,0.21500319,0.21839496,0.46765077,0.8828281,0.56188416,0.09193316,0.551522099701427,-0.040032339220344,0.454231450021714,0.073918217928181,0.229751603948271,0.189651449490055,599.72,6.92,,10.26,2,False,0.06,1
COc1cc(/C=C/C(=O)OCCCCCN(C)CCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,CHEMBL3339300,0.21516609,0.21829025,0.46786353,0.8828782,0.5618841,0.09193319,0.54064649369224,-0.041744710980772,0.406068533010226,0.069474085939972,0.229871264520682,0.189731795379107,599.72,6.92,,9.97,2,False,0.06,1
COc1ccc(-c2coc3c(c(O)cc4occ(-c5ccc(OC)c(OC)c5)c(=O)c43)c2=O)cc1OC,CHEMBL3822838,0.14090669,0.5762607,0.80142474,0.8900588,0.75901026,0.83475685,0.532117643358728,-0.109426079271263,0.504146693496041,-0.06101768111721,0.565446830921071,0.192980782267662,502.48,4.97,4.5,,1,True,0.32,1
COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@H](O)C2,CHEMBL3582135,0.25858265,0.08930892,0.30091622,0.85293144,0.75870484,0.658522,0.580676041181695,0.007391821792818,0.466200874930873,0.118796418581995,0.317049339827106,0.204485309256349,376.41,2.77,13.86,,0,True,0.83,1
CC(=O)Oc1cc(OC(C)=O)c2c(c1)O[C@H](c1cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c1)[C@H](OC(=O)c1cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c1)C2,CHEMBL235389,0.25785142,0.012594938,0.3432389,0.8576463,0.5293081,0.61468107,0.420003566132499,0.003118424818845,0.320796613661089,0.094988927332165,0.530206499130535,0.098750119263429,794.67,3.99,,,2,False,0.2,1
